TradingDate,close,open,high,low,chg
2021-2-6,39256.6,38300.6,40939.7,38275.3,0.025
2021-2-7,38852.9,39228.9,39691.7,37381.6,-0.0103
2021-2-8,46395.7,38853.6,46596.4,38057,0.1941
2021-2-9,46508.6,46396.4,48143.5,45104.7,0.0024
2021-2-10,44836,46507.8,47295.3,43800.5,-0.036
2021-2-11,47990.7,44834.8,48622.1,44041.1,0.0704
2021-2-12,47371.7,47995,48927.4,46218.6,-0.0129
2021-2-13,47168.7,47373.1,48097.3,46270.5,-0.0043
2021-2-14,48643.4,47172.1,49695.1,47051.9,0.0313
2021-2-15,47936.3,48611.1,48936.5,45786.1,-0.0145
2021-2-16,49169.7,47934.2,50515.8,47044.4,0.0257
2021-2-17,52079.2,49161.3,52577.7,49018.1,0.0592
2021-2-18,51582.2,52094.5,52524,50941.6,-0.0095
2021-2-19,55906.6,51590.1,56238.5,50816.8,0.0838
2021-2-20,55923.7,55922,57523.8,54124.1,0.0003
2021-2-21,57433.8,55907.6,58335.1,55502.7,0.027
2021-2-22,54111.8,57437.6,57480.8,48353.8,-0.0578
2021-2-23,48911.2,54114.1,54115,45093.8,-0.0961
2021-2-24,49697.5,48911.1,51311.8,47031.7,0.0161
2021-2-25,46928.5,49695.9,52013.8,46773.7,-0.0557
2021-2-26,46345.6,46928.5,48413.9,44248.2,-0.0124
2021-2-27,46136.7,46333.1,48335.1,45059.4,-0.0045
2021-2-28,45164,46136,46582,43100.6,-0.0211
2021-3-1,49595.5,45160.5,49774,45008.8,0.0981
2021-3-2,48424.2,49595.6,50191.9,47100.6,-0.0236
2021-3-3,50395.1,48422.2,52567.9,48159.2,0.0407
2021-3-4,48428,50388,51757.7,47521.8,-0.039
2021-3-5,48792.5,48363.6,49429.4,46370.1,0.0075
2021-3-6,48855.6,48798.7,49191.8,47132.8,0.0013
2021-3-7,50982.3,48899,51434.1,48890.6,0.0435
2021-3-8,52311,50988.9,52384.9,49338.1,0.0261
2021-3-9,54879,52352.4,54880.6,51941.3,0.0491
2021-3-10,55851.9,54882.7,57328.7,53073.6,0.0177
2021-3-11,57799.5,55851.2,58135,54351.8,0.0349
2021-3-12,57265.1,57806.2,58052.3,55134.5,-0.0092
2021-3-13,61195.3,57267.4,61795.8,56118.8,0.0686
2021-3-14,59113.7,61192.7,61673.7,59113.7,-0.034
2021-3-15,55791.3,59117.4,60565.9,55088.8,-0.0562
2021-3-16,56889.7,55619.5,56889.7,53342.6,0.0197
2021-3-17,58913.5,56892.9,58933.2,54253.2,0.0356
2021-3-18,57656,58911.8,60088,57099.6,-0.0213
2021-3-19,58639.8,57645,59203.6,56305.1,0.0171
